Toss #,Coin 1 Result (H/T),Coin 1 Cumulative Tails,Coin 1 Cumulative Heads,Coin 2 Result (H/T),Coin 2 Cumulative Tails,Coin 2 Cumulative Heads,Combined Cumulative Formula (Tails),Combined Cumulative Formula (Heads)
1,1,1,0,0,0,2,1,2
2,0,1,1,1,1,1,2,2
3,1,2,1,0,1,2,3,3
4,1,3,1,1,2,2,5,3
5,0,3,2,1,3,2,6,4
6,0,3,3,0,3,3,6,6
7,0,3,4,1,4,3,7,7
8,1,4,4,0,4,4,8,8
9,1,5,4,1,5,4,10,8
10,1,6,4,1,6,4,12,8
11,0,6,5,1,7,4,13,9
12,1,7,5,0,7,5,14,10
13,1,8,5,0,7,6,15,11
14,1,9,5,0,7,7,16,12
15,1,10,5,1,8,7,18,12
16,0,10,6,0,8,8,18,14
17,1,11,6,0,8,9,19,15
18,0,11,7,1,9,9,20,16
19,0,11,8,1,10,9,21,17
20,0,11,9,0,10,10,21,19
21,1,12,9,1,11,10,23,19
22,0,12,10,1,12,10,24,20
23,1,13,10,0,12,11,25,21
24,1,14,10,1,13,11,27,21
25,1,15,10,1,14,11,29,21
26,1,16,10,0,14,12,30,22
27,1,17,10,1,15,12,32,22
28,0,17,11,0,15,13,32,24
29,0,17,12,0,15,14,32,26
30,1,18,12,0,15,15,33,27
31,1,19,12,1,16,15,35,27
32,0,19,13,0,16,16,35,29
33,0,19,14,1,17,16,36,30
34,1,20,14,1,18,16,38,30
35,0,20,15,1,19,16,39,31
36,1,21,15,0,19,17,40,32
37,0,21,16,0,19,18,40,34
38,0,21,17,1,20,18,41,35
39,1,22,17,1,21,18,43,35
40,1,23,17,1,22,18,45,35
41,0,23,18,0,22,19,45,37
42,0,23,19,1,23,19,46,38
43,0,23,20,0,23,20,46,40
44,0,23,21,0,23,21,46,42
45,0,23,22,1,24,21,47,43
46,0,23,23,0,24,22,47,45
47,0,23,24,0,24,23,47,47
48,1,24,24,1,25,23,49,47
49,0,24,25,0,25,24,49,49
50,1,25,25,1,26,24,51,49
51,1,26,25,1,27,24,53,49
52,0,26,26,1,28,24,54,50
53,0,26,27,1,29,24,55,51
54,0,26,28,0,29,25,55,53
55,1,27,28,0,29,26,56,54
56,1,28,28,0,29,27,57,55
57,1,29,28,1,30,27,59,55
58,0,29,29,1,31,27,60,56
59,1,30,29,1,32,27,62,56
60,1,31,29,0,32,28,63,57
61,0,31,30,1,33,28,64,58
62,1,32,30,1,34,28,66,58
63,0,32,31,0,34,29,66,60
64,0,32,32,0,34,30,66,62
65,0,32,33,0,34,31,66,64
66,1,33,33,0,34,32,67,65
67,0,33,34,1,35,32,68,66
68,0,33,35,0,35,33,68,68
69,0,33,36,0,35,34,68,70
70,0,33,37,1,36,34,69,71
71,1,34,37,1,37,34,71,71
72,0,34,38,1,38,34,72,72
73,1,35,38,0,38,35,73,73
74,0,35,39,1,39,35,74,74
75,0,35,40,0,39,36,74,76
76,0,35,41,1,40,36,75,77
77,1,36,41,1,41,36,77,77
78,0,36,42,1,42,36,78,78
79,1,37,42,1,43,36,80,78
80,0,37,43,0,43,37,80,80
81,1,38,43,0,43,38,81,81
82,1,39,43,1,44,38,83,81
83,0,39,44,0,44,39,83,83
84,1,40,44,0,44,40,84,84
85,0,40,45,1,45,40,85,85
86,1,41,45,0,45,41,86,86
87,1,42,45,0,45,42,87,87
88,1,43,45,0,45,43,88,88
89,1,44,45,1,46,43,90,88
90,1,45,45,1,47,43,92,88
91,1,46,45,1,48,43,94,88
92,1,47,45,1,49,43,96,88
93,1,48,45,0,49,44,97,89
94,0,48,46,0,49,45,97,91
95,0,48,47,0,49,46,97,93
96,1,49,47,1,50,46,99,93
97,0,49,48,1,51,46,100,94
98,0,49,49,1,52,46,101,95
99,1,50,49,1,53,46,103,95
100,0,50,50,1,54,46,104,96
